Compiling model...
'compile' took 1.140150 s

Training model...

Step      Train loss                        Test loss                         Test metric
20044     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20045     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20046     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20047     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20048     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20049     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20050     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20051     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20052     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20053     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20054     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20055     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20056     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20057     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20058     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20059     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20060     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20061     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20062     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20063     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20064     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20065     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20066     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20067     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20068     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20069     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20070     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20071     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20072     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20073     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20074     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20075     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20076     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20077     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20078     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20079     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20080     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20081     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20082     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20083     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20084     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20085     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20086     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20087     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20088     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20089     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20090     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20091     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20092     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20093     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20094     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20095     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20096     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20097     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20098     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20099     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20100     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20101     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20102     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20103     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20104     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20105     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20106     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20107     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20108     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20109     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20110     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20111     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20112     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20113     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20114     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20115     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20116     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20117     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20118     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20119     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20120     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20121     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20122     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20123     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20124     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20125     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20126     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20127     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20128     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20129     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20130     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20131     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20132     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20133     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20134     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20135     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20136     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20137     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20138     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20139     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20140     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20141     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20142     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20143     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20144     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20145     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20146     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20147     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20148     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20149     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20150     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20151     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20152     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20153     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20154     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20155     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20156     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20157     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20158     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20159     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
20160     [7.51e-06, 1.98e-08, 1.11e-06]    [7.51e-06, 1.98e-08, 1.11e-06]    []  
